car_id,current_office_id,car_name,car_type,fuel_type,model,model_year
1,10,Model X,suv,ELECTRIC,Tesla,2019
2,26,Model X,suv,ELECTRIC,Tesla,2018
3,32,Prius,car,HYBRID,Toyota,2012
4,50,Mustang,car,GASOLINE,Ford,2018
5,35,Sebring,car,GASOLINE,Chrysler,2010
6,75,GL-Class,suv,GASOLINE,Mercedes-Benz,2012
7,56,Yukon XL,suv,GASOLINE,GMC,2005
8,70,Expedition,suv,GASOLINE,Ford,2018
9,47,Focus RS,car,GASOLINE,Ford,2016
10,69,EcoSport,suv,GASOLINE,Ford,2018
11,32,F-150,truck,GASOLINE,Ford,2012
12,95,Prius,car,HYBRID,Toyota,2012
13,44,Tiguan,suv,GASOLINE,Volkswagen,2018
14,50,Avalon Hybrid,car,HYBRID,Toyota,2013
15,92,9-3,car,GASOLINE,Saab,2011
16,43,CV Tradesman,minivan,GASOLINE,Ram,2014
17,50,Cayman,car,GASOLINE,Porsche,2007
18,37,Wrangler JK,suv,GASOLINE,Jeep,2018
19,80,Mustang,car,GASOLINE,Ford,2019
20,19,Explorer,suv,GASOLINE,Ford,2012
21,51,Rogue,suv,GASOLINE,Nissan,2016
22,66,Model S,car,ELECTRIC,Tesla,2015
23,92,Charger,car,GASOLINE,Dodge,2014
24,86,Jetta,car,GASOLINE,Volkswagen,2019
25,90,Sonata,car,GASOLINE,Hyundai,2016
26,9,Impala,car,GASOLINE,Chevrolet,2010
27,57,Accent,car,GASOLINE,Hyundai,2015
28,76,Focus,car,GASOLINE,Ford,2010
29,32,Sequoia,suv,GASOLINE,Toyota,2016
30,32,GLC-Class,suv,GASOLINE,Mercedes-Benz,2016
31,78,Journey,suv,GASOLINE,Dodge,2019
32,13,ES 300h,car,HYBRID,Lexus,2015
33,86,ATS,car,GASOLINE,Cadillac,2015
34,64,IS 350,car,GASOLINE,Lexus,2015
35,25,fortwo,car,GASOLINE,smart,2010
36,75,Range Rover,suv,GASOLINE,Land Rover,2016
37,39,Model 3,car,ELECTRIC,Tesla,2020
38,27,718 Boxster,car,GASOLINE,Porsche,2017
39,88,S-Class,car,GASOLINE,Mercedes-Benz,2015
40,4,7 Series,car,GASOLINE,BMW,2018
41,32,C-Class,car,GASOLINE,Mercedes-benz,2019
42,1,Panamera,car,GASOLINE,Porsche,2011
43,77,GLA-Class,suv,GASOLINE,Mercedes-Benz,2017
44,29,Jetta,car,GASOLINE,Volkswagen,2016
45,22,MDX,suv,GASOLINE,Acura,2014
46,81,Model 3,car,ELECTRIC,Tesla,2018
47,72,Corvette Stingray,car,GASOLINE,Chevrolet,2014
48,2,A8,car,GASOLINE,Audi,2015
49,81,Altima,car,GASOLINE,Nissan,2018
50,82,A7,car,GASOLINE,Audi,2017
51,38,RS 7,car,GASOLINE,Audi,2014
52,42,Grand Caravan,minivan,GASOLINE,Dodge,2015
53,16,XJ,car,GASOLINE,Jaguar,2016
54,100,Model S,car,ELECTRIC,Tesla,2018
55,53,C-Class,car,GASOLINE,Mercedes-Benz,2015
56,99,Corvette,car,GASOLINE,Chevrolet,2017
57,23,S-Class,car,GASOLINE,Mercedes-Benz,2016
58,4,Camaro,car,GASOLINE,Chevrolet,2017
59,41,Range Rover Sport,suv,GASOLINE,Land Rover,2014
60,48,Quattroporte,car,GASOLINE,Maserati,2016
61,71,Q50,car,GASOLINE,INFINITI,2018
62,88,Corvette,car,GASOLINE,Chevrolet,2015
63,9,Boxster,car,GASOLINE,Porsche,2014
64,17,Model 3,car,ELECTRIC,Tesla,2019
65,4,Cayenne,suv,DIESEL,Porsche,2014
66,45,Mustang,car,GASOLINE,Ford,2019
67,97,Range Rover Sport,suv,GASOLINE,Land Rover,2016
68,21,EX35,suv,GASOLINE,Infiniti,2008
69,66,Q50,car,GASOLINE,INFINITI,2018
70,41,E-Class,car,GASOLINE,Mercedes-Benz,2016
71,72,CX-5,suv,GASOLINE,Mazda,2018
72,90,fortwo,car,GASOLINE,smart,2015
73,39,Z4,car,GASOLINE,BMW,2008
74,98,Camaro,car,GASOLINE,Chevrolet,2018
75,99,Range Rover Evoque,suv,GASOLINE,Land Rover,2015
76,12,X4,suv,GASOLINE,BMW,2018
77,25,QX60,suv,GASOLINE,Infiniti,2015
78,46,Model 3,car,ELECTRIC,Tesla,2020
79,21,6 Series Gran Coupe,car,GASOLINE,BMW,2013
80,39,M4,car,GASOLINE,BMW,2015
81,60,C-Class,car,GASOLINE,Mercedes-Benz,2016
82,27,Model X,suv,ELECTRIC,Tesla,2018
83,43,Ghibli,car,GASOLINE,Maserati,2015
84,38,Ghibli,car,GASOLINE,Maserati,2015
85,16,Camaro,car,GASOLINE,Chevrolet,2019
86,62,C-Class,car,GASOLINE,Mercedes-Benz,2016
87,24,M4,car,GASOLINE,BMW,2016
88,74,Model 3,car,ELECTRIC,Tesla,2018
89,71,5 Series,car,GASOLINE,BMW,2011
90,41,Model X,suv,ELECTRIC,Tesla,2016
91,68,i8,car,GASOLINE,BMW,2015
92,64,E-Class,car,GASOLINE,Mercedes-Benz,2017
93,4,Range Rover Sport,suv,GASOLINE,Land Rover,2018
94,46,Corvette,car,GASOLINE,Chevrolet,2016
95,19,Fiesta,car,GASOLINE,Ford,2017
96,39,AMG GT,car,GASOLINE,Mercedes-Benz,2016
97,80,Arteon,car,GASOLINE,Volkswagen,2019
98,9,Fiesta,car,GASOLINE,Ford,2015
99,12,Ghibli,car,GASOLINE,Maserati,2015
100,100,X6,suv,GASOLINE,BMW,2018
101,1,SLK-Class,car,GASOLINE,Mercedes-Benz,2013
102,13,Range Rover Velar,suv,GASOLINE,Land Rover,2019
103,9,Continental GT,car,GASOLINE,Bentley,2005
104,53,Panamera,car,GASOLINE,Porsche,2018
105,17,Model X,suv,ELECTRIC,Tesla,2016
